16s_accession	gram_stain	cell_shape	motility	ph_optimum	ph_optimum_min	ph_optimum_max	salinity_optimum	salinity_midpoint	salinity_min	salinity_max	ph_min	ph_max	oxygen_preference
MG822667.1.1434	negative	rod-shaped	no	6.0	6.0	6.0	1.0	1.0	0.0	2.0	6.0	9.0	
KF990498.1.1449													
AB238927.1.1486													
AB238924.1.1486													
EU136696.1.1944													
AM982792.1.1317													aerobe
EU136693.1.2184													anaerobe
AY574991.1.1453													anaerobe
EU126661.1.1453	negative	rod-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
EU136697.1.2002	negative	rod-shaped											anaerobe
AB238928.1.1492	negative	rod-shaped	no										anaerobe
AY560519.1.1489													
HQ698589.1.1398	negative	oval-shaped	no					5.0	0.0	10.0			
HM443958.1.1432	positive	ovoid-shaped	no					2.0	0.0	4.0			facultative_anaerobe
AY579584.1.1405	positive	rod-shaped	no										facultative_anaerobe
AB233029.1.1493													anaerobe
EU127549.1.1287	positive	rod-shaped	no								4.5	4.5	anaerobe
GU361820.1.1495	positive	rod-shaped	no										anaerobe
GU361827.1.1480	positive	rod-shaped	no										anaerobe
GU361819.1.1483													anaerobe
GU361815.1.1483	positive	rod-shaped	no										anaerobe
EU136686.1.1972	negative	rod-shaped	no										anaerobe
EU136694.1.1968													anaerobe
EU136680.1.2019	negative	rod-shaped	no										anaerobe
EU136687.1.1985	negative	rod-shaped	no										anaerobe
EU136682.1.1435	negative	rod-shaped	no										anaerobe
AY596470.1.1490													
AY608697.1.1413													anaerobe
HQ882805.1.1478													
AB264126.1.1422	negative	rod-shaped	yes	6.5	6.5	6.5					6.0	9.0	aerobe
KM888877.1.1419	negative	rod-shaped	no	8.0	8.0	8.0		0.5	0.0	1.0	3.0	10.0	aerobe
KP027016.1.1336													
KP017569.1.1451													
AB300989.1.1489	negative	ovoid-shaped	no										anaerobe
AB300988.1.1342	negative	rod-shaped	no										anaerobe
AB259061.1.1545	positive	coccus-shaped											facultative_anaerobe
EU156772.1.1329	positive	coccus-shaped	no										facultative_anaerobe
EU156757.1.1329	positive	coccus-shaped	no										facultative_anaerobe
EU156758.1.1329	positive	coccus-shaped	no										facultative_anaerobe
EU156766.1.1269	positive	coccus-shaped	no										facultative_anaerobe
AB267809.1.1461	negative	rod-shaped	no										anaerobe
AB261128.1.1492	negative	rod-shaped	no										anaerobe
HQ877677.1.1435	positive	rod-shaped		6.75	6.75	6.75					6.75	6.75	anaerobe
AB286023.1.1473													
AB266102.1.1428	positive	rod-shaped											anaerobe
AB294138.1.1215													anaerobe
AY608696.1.1419													anaerobe
KT309086.1.1409	negative	rod-shaped	no	7.0	7.0	7.0	0.0	0.0	0.0	0.0	6.0	10.0	aerobe
KF443808.1.1339													
JX424767.1.1450													
AB480534.1.1481		rod-shaped	no										anaerobe
AB438958.1.1532	negative	mixed	no				6.0	6.0	0.0	12.0			aerobe
JX424772.1.1519													
KF537630.1.1368													anaerobe
JX273468.1.1382	positive	rod-shaped	no										anaerobe
JX424766.1.1279													anaerobe
JF411966.1.1448	positive	rod-shaped		6.3	6.3	6.3					6.3	6.3	aerobe
AB370249.1.1521	negative	coccus-shaped	no	7.0	7.0	7.0					7.0	7.0	anaerobe
AB331897.1.1481	negative	ovoid-shaped	no										anaerobe
AB443949.1.1486	negative	rod-shaped	no										anaerobe
AB443948.1.1484	negative	rod-shaped	no										anaerobe
AB470343.1.1485	negative	rod-shaped	no										anaerobe
JF506640.1.1362	negative	rod-shaped	no										
AB365975.1.1498	positive	rod-shaped	no	7.0	7.0	7.0	4.0	4.0	1.0	7.0	4.5	8.5	facultative_anaerobe
JF313109.1.1310													anaerobe
