study,test_study,auc,f1,mcc,acc,confusion_matrix_x,disease,AUC ROC,Average Precision,F1 value,mcc value,aupr value,acc value,tn,fp,fn,tp,confusion_matrix_y
PRJNA978958,PRJNA978958,0.6736842105263158,0.4141414141414141,0.2464320290450721,0.4482758620689655,"[[10  0]
 [16  3]]",PRJNA978958,0.5974,0.8012,0.4746,0.0889,0.7991,0.6552,1,9,1,18,"[[1, 9], [1, 18]]"
PRJNA695309,PRJNA695309,0.6117424242424242,0.400089605734767,0.0976015584586855,0.4951456310679611,"[[46  2]
 [50  5]]",PRJNA695309,0.5936,0.6802,0.3439,,0.6786,0.5243,0,48,1,54,"[[0, 48], [1, 54]]"
PRJNA646010,PRJNA646010,0.588235294117647,0.4975490196078431,0.1321560134508002,0.5121951219512195,"[[14  3]
 [17  7]]",PRJNA646010,0.4743,0.5729,0.4177,0.0392,0.5528,0.5854,1,16,1,23,"[[1, 16], [1, 23]]"
PRJNA368966,PRJNA368966,0.7966764418377322,0.7013018914271678,0.4057225375968203,0.703125,"[[20 11]
 [ 8 25]]",PRJNA368966,0.8656,0.8579,0.7733,0.5879,0.8557,0.7812,19,12,2,31,"[[19, 12], [2, 31]]"
PRJNA819279,PRJNA819279,0.7595238095238095,0.6110056925996205,0.2900962670491369,0.6341463414634146,"[[18  3]
 [12  8]]",PRJNA819279,0.4429,0.44,0.3167,,0.4189,0.4634,0,21,1,19,"[[0, 21], [1, 19]]"
PRJNA578223,PRJNA578223,0.3619791666666666,0.3503137689184201,-0.2008213586922364,0.4270833333333333,"[[37 11]
 [44  4]]",PRJNA578223,0.2461,0.374,0.3287,,0.3615,0.4896,0,48,1,47,"[[0, 48], [1, 47]]"
PRJNA422193,PRJNA422193,0.8481063658340048,0.6258741258741258,0.4117652836769307,0.6261682242990654,"[[32  2]
 [38 35]]",PRJNA422193,0.9176,0.9618,0.8051,0.6202,0.9621,0.8411,22,12,5,68,"[[22, 12], [5, 68]]"
PRJNA431126,PRJNA431126,0.7599082186065916,0.6259416026974675,0.2983390995280182,0.7911392405063291,"[[ 20  14]
 [ 52 230]]",PRJNA431126,0.7278,0.9466,0.6667,0.3909,0.9465,0.9082,9,25,4,278,"[[9, 25], [4, 278]]"
PRJEB36789,PRJEB36789,0.8542868127643214,0.6141153336468175,0.4107399985966912,0.6143790849673203,"[[45 57]
 [ 2 49]]",PRJEB36789,0.8156,0.7023,0.7524,0.5051,0.7029,0.7778,84,18,16,35,"[[84, 18], [16, 35]]"
PRJEB22977,PRJEB22977,0.6318181818181818,0.4538987306458362,0.235981990838284,0.4827586206896552,"[[31  1]
 [44 11]]",PRJEB22977,0.6045,0.7213,0.5131,0.1697,0.7216,0.6552,5,27,3,52,"[[5, 27], [3, 52]]"
PRJNA1103839,PRJNA1103839,0.5440860215053764,0.4392236976506639,0.2311888316118859,0.5573770491803278,"[[31  0]
 [27  3]]",PRJNA1103839,0.3855,0.4624,0.3222,,0.4503,0.4754,0,31,1,29,"[[0, 31], [1, 29]]"
PRJNA588353,PRJNA588353,0.6684027777777778,0.3333333333333333,0.0,0.5,"[[24  0]
 [24  0]]",PRJNA588353,0.6363,0.6159,0.5152,0.252,0.5908,0.5833,5,19,1,23,"[[5, 19], [1, 23]]"
PRJNA880407,PRJNA880407,0.7872,0.7106242248863166,0.4716211091418993,0.72,"[[45  5]
 [23 27]]",PRJNA880407,0.6226,0.6921,0.4048,0.0842,0.6917,0.52,4,46,2,48,"[[4, 46], [2, 48]]"
