study_id	num_ASV	num_samples	density_percent
PRJNA648818	1852	214	3.2097
PRJNA631262	1321	82	5.2879
PRJEB32547	5729	271	8.2215
PRJEB13680	3910	279	3.0146
qiita_10532	5766	483	2.5627
PRJNA647534	5929	99	2.2769
PRJEB24161	1363	142	18.0278
PRJNA682416	3530	22	9.5957
PRJNA644464	4891	201	2.7858
PRJNA326441	7237	768	0.2841
PRJNA788301	9555	50	4.0950
PRJNA478781	1188	80	15.3441
PRJNA450340	4264	221	4.2792
PRJNA510423	10100	1778	0.8924
PRJNA388263	6151	443	4.5186
PRJEB39707	3500	394	1.6798
PRJNA605031	491	1266	2.5515
PRJNA715083	18568	376	1.1120
PRJNA734860	3143	85	6.7676
PRJNA690651	4395	50	3.9609
PRJEB21999	3178	34	9.4158
PRJEB39038	20578	89	1.7179
PRJEB32077	2828	280	2.7756
PRJEB34335	2768	90	5.9943
PRJEB36316	5275	100	11.3793
PRJNA526906	1481	435	1.0835
PRJNA532426	943	72	2.7940
PRJNA850658	14693	97	2.4988
PRJEB16321	652	71	5.5971
PRJNA590676	2912	95	3.1116
PRJNA742936	18577	168	1.7468
PRJNA644655	12820	601	4.4592
PRJNA510713	6911	93	3.1377
PRJEB69530	2133	494	8.1236
PRJNA595821	874	108	12.1896
PRJNA657818	3197	251	1.7812
PRJNA606023	7982	144	2.5381
PRJNA472768	2506	208	8.1504
PRJEB39289	13095	269	2.2597
PRJNA699380	5529	140	1.2556
PRJNA531279	1065	60	3.3599
PRJNA615114	3137	74	8.2421
PRJEB21946	664	336	3.1057
PRJNA450946	2313	238	1.8658
PRJNA741048	7179	101	2.4706
PRJEB36385	6182	198	4.0270
PRJNA614975	13116	364	0.9580
PRJEB19996	1953	148	7.0872
PRJNA527265	1687	258	2.0742
PRJNA421288	2976	197	6.5546
PRJEB15534	4907	127	4.1453
PRJNA495454	3726	360	1.1867
PRJNA565903	1692	133	4.0078
PRJNA518731	4379	130	4.1685
PRJEB19825	3360	461	2.7390
PRJNA511474	2426	74	5.6382
PRJNA631883	1480	202	5.2666
PRJNA606061	3492	70	5.6852
qiita_11404	36737	536	0.6271
PRJEB29078	17592	2910	0.4230
PRJEB5482	14915	1961	0.4247
PRJEB39420	5957	387	0.9224
PRJDB7456	2579	61	7.5477
PRJNA673102	79676	1849	0.3436
PRJNA723466	14031	201	0.7905
PRJNA486009	2487	182	4.5226
PRJNA453125	1761	234	3.5057
PRJNA451156	4384	250	1.6907
PRJNA552448	5819	117	2.4730
PRJDB9705	2192	58	2.3864
PRJNA304948	9999	323	1.2698
PRJEB99111	5898	119	3.1875
PRJNA642975	1423	54	11.1541
PRJNA644788	30064	75	1.6472
PRJNA485797	2104	179	4.3331
PRJNA612957	7092	162	2.5504
PRJNA702086	10856	104	2.4573
PRJNA657821	4776	1659	0.7203
PRJNA356414	4171	20	7.8410
PRJNA505336	4488	261	4.4229
PRJNA604466	2675	53	15.6650
PRJCA000673	3709	117	6.6510
PRJEB38457	824	53	7.3457
PRJNA399246	7391	50	3.7592
PRJNA635239	11037	414	2.0163
PRJNA475599	1422	238	5.0051
PRJNA577051	5495	500	2.9044
PRJEB11419	121414	18946	0.1172
PRJNA450690	426	192	10.4277
PRJNA559439	2746	179	3.5231
PRJNA339264	2597	714	1.7202
PRJNA623574	5221	73	3.3232
PRJNA417357	22311	1692	0.1970
PRJEB17613	3606	170	5.1719
PRJNA394877	22531	472	1.1439
PRJNA481072	8873	232	2.1078
PRJNA306884	1166	157	8.7020
PRJNA762994	48830	186	0.7540
PRJEB28671	29323	676	0.9215
PRJNA688839	1974	91	5.1594
PRJNA382861	5530	263	1.5769
PRJEB23500	8012	117	2.3294
PRJNA279828	2291	160	3.6679
PRJEB5714	1599	50	9.9362
PRJEB28687	15123	641	0.4314
PRJNA674420	13153	495	0.4077
PRJNA547806	4866	90	3.3475
PRJEB10326	1009	72	3.2141
PRJNA418115	2480	58	10.6973
PRJDB5678	2089	97	4.4687
PRJEB23261	6418	279	1.9340
PRJNA623853	11706	363	2.2497
PRJNA378749	2344	203	6.9159
PRJNA451314	2606	194	3.1575
PRJNA729439	15562	50	3.8333
PRJNA715766	29166	239	1.3510
qiita_11884	8395	1098	1.0017
PRJNA606654	15601	737	0.6036
PRJNA445640	3320	144	5.2769
PRJNA495436	2690	25	5.2922
PRJNA493625	3770	68	3.8142
PRJNA428736	3528	1201	2.2289
PRJNA679275	1203	19	10.6619
PRJNA517050	2821	52	12.5958
PRJEB3079	5773	529	5.3303
PRJNA516932	5940	802	2.4404
PRJNA430990	12388	282	1.3222
PRJEB26710	2315	66	13.6390
PRJNA689547	2290	52	3.6412
PRJEB35769	7718	349	2.1960
PRJNA355023	2952	34	7.5871
PRJNA496539	4390	255	1.7416
PRJNA474717	792	60	9.5286
PRJNA574565	11642	126	1.4649
PRJEB17608	5550	169	1.4065
PRJNA524816	1049	13	26.7214
PRJEB43667	8065	422	2.4997
PRJNA978958	7952	29	5.0337
PRJNA528813	1731	324	5.3758
PRJNA736070	1796	74	2.5169
PRJNA695309	5161	100	3.9053
PRJNA480711	5077	243	3.6254
PRJEB9365	2744	229	5.3412
PRJNA615250	623	54	5.1572
PRJEB42687	1509	78	9.7687
PRJNA719138	1175	37	11.3191
PRJNA564612	3975	109	4.8401
PRJNA750230	3321	88	3.9323
PRJNA645223	2092	320	1.6321
PRJNA554232	1701	717	2.5324
PRJNA548177	18204	110	1.0550
PRJNA600229	6357	222	2.7183
PRJNA451320	2771	116	3.0305
PRJEB30072	2651	290	3.5699
PRJNA646010	10951	39	4.5475
PRJNA431746	9154	240	1.7451
PRJEB10296	1948	27	10.6700
PRJNA645635	3376	103	2.4217
PRJNA325931	2167	112	5.3749
PRJNA395034	9183	142	1.7671
PRJNA353336	6088	1108	0.5190
PRJNA450540	2851	256	3.4146
PRJNA539858	1761	16	10.3492
PRJNA284162	1268	48	6.4077
PRJEB38909	339799	839	0.1624
PRJNA362482	3157	58	2.4827
PRJNA430914	648	51	8.1245
PRJNA388210	1793	78	6.8736
PRJNA422134	15685	458	1.7013
PRJNA644097	1509	131	1.0350
PRJEB31775	6688	210	8.4027
PRJDB6804	2942	231	4.1695
PRJEB11425	3169	147	2.2853
PRJNA693579	10085	618	1.1441
PRJEB17860	1929	97	7.4944
PRJEB31439	3752	32	10.0063
PRJNA350277	9813	652	0.9166
PRJNA648321	6581	422	2.7597
PRJNA453840	2520	284	12.1036
PRJNA630282	10000	162	2.3042
PRJNA544721	13153	128	3.5669
PRJNA609319	3925	404	1.8724
PRJNA391974	2554	217	3.4580
PRJNA819279	1611	41	11.7258
PRJNA380944	10468	109	1.7862
PRJNA345390	2290	342	7.3949
PRJEB31840	13065	107	2.4468
PRJEB20773	1503	280	3.1794
PRJNA575562	2736	119	6.7976
PRJNA578223	6951	93	1.8545
PRJNA362944	4615	209	9.5765
PRJNA540406	847	56	11.6019
PRJDB7891	10610	1067	0.8158
PRJNA386260	2371	211	4.3795
PRJNA861246	6590	89	5.6231
PRJEB25784	5620	76	4.4442
PRJNA445314	12456	67	3.1763
PRJNA527914	1021	20	34.0842
PRJEB30836	4862	139	5.8742
PRJNA565173	3561	30	6.0713
PRJNA368739	41456	531	0.5633
PRJNA495320	1758	184	2.9635
PRJEB21504	4913	134	3.4338
PRJNA520899	19562	154	1.7928
PRJNA646021	5293	92	4.5119
PRJNA575620	3825	65	4.5868
PRJNA556249	2771	248	2.9570
PRJNA684584	1627	103	4.7302
PRJNA735699	979	85	7.3040
PRJNA422193	5142	422	3.2692
