sample_id	project	instrument	geo_loc_name	region	seq_region	sample_type
10532.249f97fa.3992.4b77.b0c9.c27e4ecbe59f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2607b960.7718.461c.bc21.4f612d26a218	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.273e797e.41f1.41a2.be36.43e50efe335e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2756472a.03f4.41da.8564.1d7538f949c6	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.28028688.f349.49ed.a093.c24ab3e69eff	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2815b5d2.60b8.4244.9502.17f693e4d39b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.28e84479.bd9f.4d55.bb03.1411b71bdc9b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2a1b28ba.f47e.44b6.bfd7.d3e41e762db3	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2ada20cb.636b.4f43.9218.e821faee673e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2adb40fd.6824.44f2.b71f.dc73c9f82b16	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2ce1e761.4f19.4236.a6a5.49ac820af545	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2dfedd8c.5fcf.445f.88b5.9b2ec7e96aec	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2f79545d.8a5d.4fc5.a0ac.5da133096ee3	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.2fc381cd.1f0f.484f.bc0c.0c45f7b291a1	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.30a32428.cc90.4c19.b56c.ca0e827639d7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.30bb9d5a.9305.4bd8.b193.2b0bff0f3e42	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.32057335.5712.47e0.8307.e3f2f42b677d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3263647b.bc7d.4256.940c.fcea00129687	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.336fae55.6ef3.49af.8688.e709584a1bd9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.33823320.f971.44d2.b8d4.97aa953ed8c6	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.35a3fb02.a90d.4977.b69e.7fe338ad120d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.35a8aef7.4bb0.4cab.bc0e.3576bb706571	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.35ace8e4.0b62.44c7.a9a3.1e16d45ed772	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.366e22db.3165.4d5d.accb.a685fa1c7472	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.36ab5525.4f00.4559.a4b0.5f08454440bb	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.36b313f7.8a44.4bdc.8034.82260a83d7b9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.37f1087f.ae31.4fde.b96b.4b6c1d61351e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3857f412.791b.4565.b56b.77ba1eb058da	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.38b26517.9a99.4774.bb19.9cf6ea8d8f06	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.38cc97e0.b049.40ad.9115.572a0f1fa54b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.399ee668.fc0f.4632.a48c.9d9025b608aa	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3a2907ca.4345.45f6.b81d.a99fd8361bbb	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3a7587ba.1767.4f82.8a29.fb87623459a0	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3aef91f5.b123.4c88.b8f3.527c7b062691	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3b2b88b4.90b1.44d2.a015.e80e723e996f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3b443a43.f0cd.4c13.b7ba.256065073f88	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3bb587a6.3e5f.4f98.aa3d.7808edeaa041	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3bcd3e9f.940c.497c.9507.cd6d1af7e5e9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3cce5506.b222.46b9.8ef3.3f15ddfc8554	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3da00df1.0c79.4428.af4e.b70c506e5613	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3f86a9aa.e576.4a0e.b946.069435b47735	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3f8829c2.d735.4d56.98cd.cfbf6cbf2744	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.3f8e3f61.513a.4f35.8ebf.0586db2cf820	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.40112074.09e5.42b1.b332.17c9b89686e5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4019255d.d4a7.4178.98c6.aaed75378852	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.40a120a1.f11e.4bb9.a831.4c7a165eb48e	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.40ded5d4.2577.43f1.9155.298cdafca4d4	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4163ae3d.2479.44b1.9d80.95d691e7da48	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.425ccffa.2f7d.4daf.908d.1a7af532ec09	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.43083975.cd2d.42da.9635.0634b5aadd6a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.43da1a2f.cd3b.4ba7.bc1c.f52d9944d458	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4438f148.fff6.4be1.9837.b8cd5c473d5a	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.446c844e.eb73.4ce2.8057.7203b7d8290f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.44bf8cf8.5259.48a2.986b.ce26356a1995	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.44ef59fb.3279.46dc.a113.c762aa889eb5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4545f13f.f648.4efe.99af.4492baa200fe	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4685baaf.fef4.4c2a.89ba.5f43d6e46354	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4699dde6.97b1.4f66.ab36.a6f92bd5945b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.46d62998.b580.4434.859c.b82a71ba8b13	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.47851ff0.b155.4d9e.8d14.37671f756a98	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4960a10c.b6cc.42a8.8fe6.6d7bcb6bbd69	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4985e68e.e764.43e4.ba6d.c9135cb59802	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4a06dba1.77c7.4197.942f.0c8da8b1ab8c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4aff6dc8.d08b.43ce.ae37.7c99c5841e5c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4b7fc783.1008.43aa.9325.896e2e370dee	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4b9ad407.fc2f.4463.bccc.0cf3a28d05f6	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4e06f8e7.ca04.4084.8ed6.9799d589df32	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4e92e999.4cb7.4bd8.9a13.459d58232fe2	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4ef235d7.1c66.456b.bf58.c69c6a71d97b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4f2698fd.665f.4ed1.be97.ffc1529e21b0	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.4f5d4951.41da.4207.ad9f.fce2da3ffa1d	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.50f400f5.8e55.420b.9a63.4623a5900017	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.50fedde6.6336.4d10.ae45.64645f1dc452	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.51fa2739.c9f3.4f97.8142.793a058cca9c	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.521f43b2.6a67.4c73.a80f.24bc87ae8cf0	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.532c15bb.f44d.454b.b308.7b2a889b1949	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.53a10dbe.f8cf.4e5c.9164.13e3e4187029	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5423daa2.53d4.464a.985d.214b4724f340	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.558a13e5.f4a8.47bc.a63e.47d6dffe528b	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.55b26af1.31a6.4606.8b99.bf415a009311	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.55f3cf16.37df.408f.aec2.cdcec8be9a06	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.55f8d345.8251.43a1.ab05.c9418f6fefd7	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.563e291f.d5b9.4d2f.afdf.ef2d7456eb62	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.568030a5.4888.49d7.9b73.aa36e2a2010f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5802a92b.5471.435b.bca9.b03e1cef9a14	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.58963b05.b9fe.4a36.98e7.f3497c390919	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.591ee23e.56bf.4275.8630.9015f9f330a5	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.593b1c57.09b3.43f2.97b1.7051761e13c9	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.595e93ed.e4b3.42b5.91b1.1ad4f31e7134	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.59d06f37.995b.40a5.91a8.c825d1a7ca6f	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5a8541e7.b0a2.48c0.8fa1.4cba3f011111	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5b24f7ea.9e02.4d89.bc02.03388ed68273	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5c70a21a.1611.47be.93bd.1bf502987de1	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
10532.5c7870bf.66e4.4024.861e.a586fe550a17	qiita_10532	MiSeq Illumina	USA:AZ	Europe and Northern America	V4	feces
