project,instrument,geo_loc_name,region,seq_region,sample_type,shannon,read_depth
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9473821117413825,55027.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.864506926247249,43966.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.387588292158698,17574.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5916834196588523,27597.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9161528787851374,80979.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5845749442191783,23983.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.4475816852092276,15243.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9318649379626436,82368.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.019630328382485,26553.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.1198102251445388,31700.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.76780054012474,18410.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9305840175176647,31510.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.455494779485912,18127.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0590592436204367,17770.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.9505191484240354,6676.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5756007290333374,14164.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.340401444169531,17791.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.2534056355678325,30604.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.7698631489007477,30581.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.2000762579601543,8333.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7397494427613203,21631.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.355747021690391,9492.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.0140406921249525,34407.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.7427110422891725,23543.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.529684597969052,37316.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.788583475744777,26324.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.3718003218939407,29257.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.264810776162085,12990.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.37975336727982,79395.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.538392108218652,12180.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.6702326776025993,53838.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.9689729566926606,23088.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.3446755933304493,44064.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.10276334433809,25632.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.7389689770764702,24199.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5961328623245676,42829.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.767311736252713,26183.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.0929692155473303,37790.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.670925544497211,21751.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.378321976652407,70885.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4590510940239887,14776.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.4375510279355024,33257.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.82439281622184,15639.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.9779881910084094,8602.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.5815058402823214,15190.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.4131612954586945,43046.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.9969388527644047,16539.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.9316617764062158,10775.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.8906051693753714,26953.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.549693740695047,18507.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.237359953796176,40025.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.303689977564592,40182.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.996093589262884,26046.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,2.043783118859757,19116.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.4667185131549885,21824.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,1.4957252377352652,57057.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.232595286851673,28812.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,0.26128149825828634,64116.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,4.10261104678102,9756.0
qiita_10532,MiSeq Illumina,USA:AZ,Europe and Northern America,V4,feces,3.377763711611141,18369.0
