terms,level_1,level_2,level_3,type,Number
metabolite_utilization.Potassium_5-ketogluconate.builds_acid_from,metabolite_utilization,builds_acid_from,Potassium_5-ketogluconate,1,11
metabolite_utilization.citrate.carbon_source,metabolite_utilization,carbon_source,citrate,1,10
metabolite_utilization.D-mannose.assimilation,metabolite_utilization,assimilation,D-mannose,1,10
metabolite_production.hydrogen_sulfide.,metabolite_production,,hydrogen_sulfide,1,10
metabolite_utilization.D-ribose.fermentation,metabolite_utilization,fermentation,D-ribose,1,9
metabolite_utilization.D-tagatose.builds_acid_from,metabolite_utilization,builds_acid_from,D-tagatose,1,9
metabolite_utilization.glucose.fermentation,metabolite_utilization,fermentation,glucose,1,9
metabolite_utilization.L-fucose.builds_acid_from,metabolite_utilization,builds_acid_from,L-fucose,1,9
metabolite_utilization.D-mannitol.fermentation,metabolite_utilization,fermentation,D-mannitol,1,8
metabolite_utilization.adipate.assimilation,metabolite_utilization,assimilation,adipate,1,7
metabolite_utilization.D-arabinose.builds_acid_from,metabolite_utilization,builds_acid_from,D-arabinose,1,7
metabolite_utilization.D-arabitol.builds_acid_from,metabolite_utilization,builds_acid_from,D-arabitol,1,7
metabolite_utilization.gluconate.assimilation,metabolite_utilization,assimilation,gluconate,1,7
metabolite_utilization.gluconate.builds_acid_from,metabolite_utilization,builds_acid_from,gluconate,1,7
metabolite_utilization.amygdalin.fermentation,metabolite_utilization,fermentation,amygdalin,1,6
metabolite_utilization.D-fructose.degradation,metabolite_utilization,degradation,D-fructose,1,6
metabolite_utilization.D-glucose.degradation,metabolite_utilization,degradation,D-glucose,1,6
metabolite_utilization.L-sorbose.builds_acid_from,metabolite_utilization,builds_acid_from,L-sorbose,1,6
metabolite_utilization.melibiose.fermentation,metabolite_utilization,fermentation,melibiose,1,6
metabolite_utilization.methyl_beta-D-glucopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_beta-D-glucopyranoside,1,6
metabolite_utilization.myo-noinositol.builds_acid_from,metabolite_utilization,builds_acid_from,myo-noinositol,1,6
metabolite_utilization.sorbitol.builds_acid_from,metabolite_utilization,builds_acid_from,sorbitol,1,6
metabolite_utilization.decanoate.assimilation,metabolite_utilization,assimilation,decanoate,1,5
metabolite_utilization.L-arabinose.fermentation,metabolite_utilization,fermentation,L-arabinose,1,5
metabolite_utilization.L-rhamnose.fermentation,metabolite_utilization,fermentation,L-rhamnose,1,5
metabolite_utilization.mannitol.fermentation,metabolite_utilization,fermentation,mannitol,1,5
metabolite_utilization.ribitol.builds_acid_from,metabolite_utilization,builds_acid_from,ribitol,1,5
metabolite_utilization.ribose.builds_acid_from,metabolite_utilization,builds_acid_from,ribose,1,5
metabolite_utilization.tributyrin.hydrolysis,metabolite_utilization,hydrolysis,tributyrin,1,5
metabolite_utilization.citrate.assimilation,metabolite_utilization,assimilation,citrate,1,4
metabolite_utilization.D-mannitol.assimilation,metabolite_utilization,assimilation,D-mannitol,1,4
metabolite_utilization.D-xylose.fermentation,metabolite_utilization,fermentation,D-xylose,1,4
metabolite_utilization.glucose.degradation,metabolite_utilization,degradation,glucose,1,4
metabolite_utilization.N-acetylglucosamine.assimilation,metabolite_utilization,assimilation,N-acetylglucosamine,1,4
metabolite_utilization.pullulan.builds_acid_from,metabolite_utilization,builds_acid_from,pullulan,1,4
metabolite_utilization.sorbitol.fermentation,metabolite_utilization,fermentation,sorbitol,1,4
metabolite_utilization.alpha-cyclodextrin.builds_acid_from,metabolite_utilization,builds_acid_from,alpha-cyclodextrin,1,3
metabolite_utilization.D-xylose.degradation,metabolite_utilization,degradation,D-xylose,1,3
metabolite_utilization.L-arabinose.assimilation,metabolite_utilization,assimilation,L-arabinose,1,3
metabolite_utilization.lysine.degradation,metabolite_utilization,degradation,lysine,1,3
metabolite_utilization.malonate.assimilation,metabolite_utilization,assimilation,malonate,1,3
metabolite_utilization.maltose.degradation,metabolite_utilization,degradation,maltose,1,3
metabolite_utilization.myo-inositol.fermentation,metabolite_utilization,fermentation,myo-inositol,1,3
metabolite_utilization.salicin.degradation,metabolite_utilization,degradation,salicin,1,3
metabolite_utilization.sodium_thiosulfate.builds_gas_from,metabolite_utilization,builds_gas_from,sodium_thiosulfate,1,3
