auc,embedding,traits_type,group,tax,datasize
0.6101190476190477,social_niche,Motility,times_5,Bacillota,"80,000"
0.6568627450980392,social_niche,Motility,times_5,Actinomycetota,"80,000"
0.884967714549132,social_niche,Oxygen_Preference,times_5,Actinomycetota,"160,000"
0.7615384615384615,social_niche,Gram_Status,times_5,Bacillota,"160,000"
1.0,social_niche,Gram_Status,times_5,Actinomycetota,"160,000"
0.5509259259259259,social_niche,Motility,times_5,Bacillota,"160,000"
0.5426829268292682,social_niche,Spore_Formation,times_5,Bacillota,"160,000"
0.81228307761999,social_niche,Oxygen_Preference,times_5,Bacillota,"210,000"
0.895196608946609,social_niche,Oxygen_Preference,times_5,Actinomycetota,"210,000"
0.8068181818181819,social_niche,Gram_Status,times_5,Bacillota,"210,000"
0.8666666666666667,social_niche,Gram_Status,times_5,Actinomycetota,"210,000"
0.6416083916083916,social_niche,Motility,times_5,Bacillota,"210,000"
0.6984126984126984,social_niche,Motility,times_5,Actinomycetota,"210,000"
0.6212624584717608,social_niche,Spore_Formation,times_5,Bacillota,"210,000"
0.5255802637245385,dnabert2,Oxygen_Preference,times_5,Bacillota,"210,000"
0.6878783369408369,dnabert2,Oxygen_Preference,times_5,Actinomycetota,"210,000"
0.41903409090909094,dnabert2,Gram_Status,times_5,Bacillota,"210,000"
0.4897435897435897,dnabert2,Gram_Status,times_5,Actinomycetota,"210,000"
0.5472027972027972,dnabert2,Motility,times_5,Bacillota,"210,000"
0.6666666666666666,dnabert2,Motility,times_5,Actinomycetota,"210,000"
0.48172757475083056,dnabert2,Spore_Formation,times_5,Bacillota,"210,000"
0.5624538474010573,phylo_pca,Oxygen_Preference,times_5,Bacillota,"210,000"
0.5079982864357865,phylo_pca,Oxygen_Preference,times_5,Actinomycetota,"210,000"
0.5610795454545454,phylo_pca,Gram_Status,times_5,Bacillota,"210,000"
0.7282051282051282,phylo_pca,Gram_Status,times_5,Actinomycetota,"210,000"
0.5052447552447552,phylo_pca,Motility,times_5,Bacillota,"210,000"
0.5357142857142857,phylo_pca,Motility,times_5,Actinomycetota,"210,000"
0.49335548172757476,phylo_pca,Spore_Formation,times_5,Bacillota,"210,000"
