"source","trait","q2","r2y","pQ2_phylo","pR2Y_phylo","z_q2","z_r2y","q2_null_mean","r2y_null_mean","gap_obs","gap_null_mean","n_taxa","n_sim","n_sim_ok","class_n","pQ2_phylo_fdr","pR2Y_phylo_fdr"
"bacdive","metabolite_utilization.D.arabitol.builds_acid_from",-0.27,0.523,0.202,0.376,0.836592394760512,0.292611438786691,-0.526084556556557,0.497505505505505,0.793,1.02359006206206,99,999,999,"no:94; yes:5",0.5788125,0.695560975609756
"bacdive","metabolite_utilization.pullulan.builds_acid_from",-0.147,0.81,0.203,0.336,0.761586283597258,0.453360100252482,-0.492259129129129,0.781940940940941,0.957,1.27420007007007,31,999,999,"no:27; yes:4",0.5788125,0.695560975609756
"bacdive","metabolite_utilization.raffinose.fermentation",-0.0518,0.456,0.22,0.075,0.758262244821,1.47969323457258,-0.174236113113113,0.376139139139139,0.5078,0.550375252252252,154,999,999,"no:117; yes:37",0.5788125,0.4704
"bacdive","enzymes.alanine_arylamidase",0.0214,0.434,0.227,0.183,0.756133688321188,0.912152221376845,-0.110258161161161,0.374439439439439,0.4126,0.484697600600601,164,999,999,"no:78; yes:86",0.5788125,0.569625
"bacdive","enzymes.alkaline_phosphatase",0.00672,0.308,0.229,0.238,0.70727097307681,0.678379354358268,-0.0705784908908909,0.272971971971972,0.30128,0.343550462862863,301,999,999,"no:155; yes:146",0.5788125,0.6125
"bacdive","metabolite_utilization.maltose.builds_acid_from",-0.146,0.441,0.232,0.591,0.768526757611588,-0.297187104518914,-0.330369179179179,0.460004004004004,0.587,0.790373183183183,139,999,999,"no:49; yes:90",0.5788125,0.782675675675676
"bacdive","metabolite_utilization.L.sorbose.builds_acid_from",-0.236,0.584,0.234,0.426,0.780142284058653,0.136962366518961,-0.499215505505506,0.573228228228228,0.82,1.07244373373373,82,999,999,"no:76; yes:6",0.5788125,0.719793103448276
"bacdive","metabolite_utilization.gluconate.assimilation",0.00814,0.897,0.238,0.417,0.738486273989642,0.293693912548874,-0.325659844544545,0.885728728728729,0.88886,1.21138857327327,20,999,999,"no:13; yes:7",0.5788125,0.712779069767442
"bacdive","metabolite_utilization.gluconate.builds_acid_from",-0.291,0.785,0.24,0.014,0.714540628328173,2.13448131213863,-0.547239009009009,0.633670670670671,1.076,1.18090967967968,66,999,999,"no:59; yes:7",0.5788125,0.2058
"bacdive","metabolite_utilization.urea.hydrolysis",-0.0999,0.307,0.241,0.196,0.738955179633129,0.924294083385132,-0.186958848848849,0.262156156156156,0.4069,0.449115005005005,250,999,999,"no:238; yes:12",0.5788125,0.588
"traitar","Salicin",0.0623,0.2,0.241,0.077,0.668042436799197,1.68792858626474,0.0269648538538539,0.133683783783784,0.1377,0.10671892992993,1112,999,999,"0:886; 1:226",0.323042553191489,0.147
"bacdive","metabolite_utilization.nitrite.reduction",-0.211,0.57,0.244,0.022,0.760283889290747,2.04023419186711,-0.392149186386386,0.442641641641642,0.781,0.834790828028028,129,999,999,"no:116; yes:13",0.5788125,0.248769230769231
"bacdive","enzymes.tryptophan_deaminase",-0.0703,0.343,0.244,0.206,0.73283453249601,0.754498915680171,-0.168582724724725,0.306835835835836,0.4133,0.475418560560561,200,999,999,"no:175; yes:25",0.5788125,0.588
"bacdive","enzymes.beta.galactosidase",-0.013,0.303,0.247,0.407,0.67400059113823,0.105721094942042,-0.0918748573573574,0.297052052052052,0.316,0.388926909409409,270,999,999,"no:154; yes:116",0.5788125,0.703870588235294
"bacdive","metabolite_utilization.D.xylose.fermentation",-0.231,0.918,0.251,0.171,0.685299551341938,1.03962957583948,-0.659084964964965,0.863185185185185,1.149,1.52227015015015,24,999,999,"no:20; yes:4",0.5788125,0.561866666666667
"bacdive","metabolite_utilization.ornithine.degradation",-0.108,0.946,0.252,0.045,0.599822955268758,1.37207697382139,-0.410677827827828,0.83432032032032,1.054,1.24499814814815,22,999,999,"no:20; yes:2",0.5788125,0.399
"traitar","Citrate",0.0624,0.141,0.259,0.406,0.624406526782079,0.115669338783017,0.0307243958958959,0.13662962962963,0.0786,0.105905233733734,1112,999,999,"0:851; 1:261",0.3399375,0.441
"bacdive","metabolite_utilization.turanose.builds_acid_from",-0.277,0.622,0.26,0.581,0.669801232674997,-0.17142906812012,-0.48538034034034,0.631206206206206,0.899,1.11658654654655,74,999,999,"no:47; yes:27",0.588,0.776427272727273
"traitar","Maltose",0.0678,0.15,0.279,0.382,0.553292470825797,0.21440426670784,0.0383298940940941,0.141725225225225,0.0822,0.103395331131131,1112,999,999,"0:399; 1:713",0.358714285714286,0.4365
"traitar","Ornithine.decarboxylase",0.00431,0.147,0.289,0.091,0.472074866586672,1.53398026860025,-0.0163029075075075,0.103694694694695,0.14269,0.119997602202202,1112,999,999,"0:1058; 1:54",0.359470588235294,0.158307692307692
"traitar","D.Mannose",0.0712,0.172,0.291,0.231,0.51121200481488,0.630643474387217,0.042305575487988,0.145955955955956,0.1008,0.103650380467968,1112,999,999,"0:528; 1:584",0.359470588235294,0.3031875
"bacdive","enzymes.alpha.arabinosidase",-0.0686,0.35,0.292,0.381,0.597612219777752,0.279007875248628,-0.156984459459459,0.335550550550551,0.4186,0.49253501001001,176,999,999,"no:147; yes:29",0.650363636363636,0.695560975609756
"bacdive","metabolite_utilization.methyl_beta.D.xylopyranoside.builds_acid_from",-0.44,0.34,0.3,0.99,0.472278256042796,-2.12566789122986,-0.584713273273273,0.547935935935936,0.78,1.13264920920921,82,999,999,"no:80; yes:2",0.650691176470588,0.996
"bacdive","metabolite_utilization.lactose.carbon_source",-0.183,0.745,0.301,0.544,0.67680401000475,0.322874483339075,-0.333578778778779,0.698875875875876,0.928,1.03245465465465,42,999,999,"no:1; yes:41",0.650691176470588,0.7616
