fold	study	n_studies	rep	studies	n_train	n_train_case	n_train_ctrl
PRJNA824020_n2_r0	PRJNA824020	2	0	PRJDB11845;PRJEB36789	255	103	152
PRJNA824020_n2_r1	PRJNA824020	2	1	PRJDB11845;PRJNA290926	357	177	180
PRJNA824020_n2_r2	PRJNA824020	2	2	PRJDB11845;PRJNA318004	330	150	180
PRJNA824020_n2_r3	PRJNA824020	2	3	PRJEB36789;PRJEB6070	244	92	152
PRJNA824020_n2_r4	PRJNA824020	2	4	PRJEB6070;PRJNA290926	346	166	180
PRJNA824020_n3_r0	PRJNA824020	3	0	PRJDB11845;PRJEB36789;PRJNA290926	510	228	282
PRJNA824020_n3_r1	PRJNA824020	3	1	PRJDB11845;PRJEB6070;PRJNA430990	339	120	219
PRJNA824020_n3_r2	PRJNA824020	3	2	PRJDB11845;PRJNA290926;PRJNA430990	503	204	299
PRJNA824020_n3_r3	PRJNA824020	3	3	PRJEB36789;PRJEB6070;PRJNA290926	499	217	282
PRJNA824020_n3_r4	PRJNA824020	3	4	PRJEB36789;PRJEB6070;PRJNA318004	472	190	282
PRJNA824020_n4_r0	PRJNA824020	4	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926	601	269	332
PRJNA824020_n4_r1	PRJNA824020	4	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA318004	574	242	332
PRJNA824020_n4_r2	PRJNA824020	4	2	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA430990	594	245	349
PRJNA824020_n4_r3	PRJNA824020	4	3	PRJDB11845;PRJEB6070;PRJNA318004;PRJNA430990	567	218	349
PRJNA824020_n4_r4	PRJNA824020	4	4	PRJEB36789;PRJEB6070;PRJNA318004;PRJNA430990	618	217	401
PRJNA824020_n5_r0	PRJNA824020	5	0	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA318004	829	367	462
PRJNA824020_n5_r1	PRJNA824020	5	1	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA290926;PRJNA430990	747	296	451
PRJNA824020_n5_r2	PRJNA824020	5	2	PRJDB11845;PRJEB36789;PRJEB6070;PRJNA318004;PRJNA430990	720	269	451
PRJNA824020_n5_r3	PRJNA824020	5	3	PRJDB11845;PRJEB6070;PRJNA290926;PRJNA318004;PRJNA430990	822	343	479
PRJNA824020_n5_r4	PRJNA824020	5	4	PRJEB36789;PRJEB6070;PRJNA290926;PRJNA318004;PRJNA430990	873	342	531
