otu,n_folds_in_top,mean_rank_diff,case_minus_control,enrichment,frac_folds
FJ557765.1.1386,2,15.0,0.034292077660401016,0.7182508135882029,0.2857142857142857
EU309492.1.1445,2,20.0,-0.00533214587256306,0.2527782663057198,0.2857142857142857
FJ432378.1.1202,1,2.0,-7.538720984726565,14.072386939080276,0.14285714285714285
AB639144.1.1469,1,5.0,-5.084365198217879,9.233189994243556,0.14285714285714285
JQ455437.1.1278,1,1.0,-3.1468786990668276,4.558542892013647,0.14285714285714285
JQ467788.1.1220,1,8.0,1.8350143589009378,1.3098131514223867,0.14285714285714285
AM420255.1.1205,1,9.0,1.811590112131348,1.4906323537684996,0.14285714285714285
EF026154.1.1200,1,6.0,-1.4412169182679784,2.9149888611757775,0.14285714285714285
FJ371195.1.1316,1,3.0,-1.1935502768769912,2.989221681540829,0.14285714285714285
JQ186757.1.1359,1,12.0,-1.1197786660137548,1.5159309706107913,0.14285714285714285
MK131295.1.1339,1,12.0,-1.0326771362689204,1.98667223294924,0.14285714285714285
KP330262.1.1200,1,13.0,-0.8615771101879304,0.6148198137299461,0.14285714285714285
HQ806883.1.1241,1,4.0,-0.8549076573204036,1.3356797289667803,0.14285714285714285
HQ766049.1.1250,1,5.0,-0.8524572581601051,1.4269998866578855,0.14285714285714285
MF461119.1.1200,1,13.0,-0.8506338617028644,1.955466832130415,0.14285714285714285
U13042.1.1434,1,15.0,0.7767578116271894,0.27456643560993604,0.14285714285714285
GQ492470.1.1319,1,8.0,-0.764159815632102,0.7646304631725881,0.14285714285714285
FJ369196.1.1353,1,17.0,-0.7586980957010596,0.5057987304673731,0.14285714285714285
AE000513.2467934.2469435,1,5.0,0.7459108724533643,0.7978482740890025,0.14285714285714285
JN639385.1.1262,1,19.0,-0.714732359643201,1.316073908040925,0.14285714285714285
GQ144701.1.1205,1,9.0,-0.698703371215499,1.2001796493622512,0.14285714285714285
KF098874.1.1361,1,21.0,-0.693548310308769,0.7956396916836564,0.14285714285714285
EU774184.1.1387,1,10.0,-0.6872430528430605,0.56015015950907,0.14285714285714285
KX792215.1.1201,1,6.0,0.6760400679071148,0.35921424425381354,0.14285714285714285
JF747611.1.1274,1,3.0,0.6174252242781222,0.2720856920547657,0.14285714285714285
KF842582.1.1388,1,11.0,-0.6045783422467511,0.9749766427557915,0.14285714285714285
KY983579.1.1217,1,12.0,-0.596223526094966,1.5604876558839655,0.14285714285714285
KP644774.1.1203,1,7.0,0.581387637303372,1.4143313184477204,0.14285714285714285
AM419999.1.1277,1,16.0,0.5546196955174768,0.3005618253456695,0.14285714285714285
KF697532.1.1227,1,18.0,0.5028856527344587,0.47704514938098763,0.14285714285714285
JQ187213.1.1363,1,22.0,-0.49770367753218714,0.82936429202025,0.14285714285714285
FAUJ01000006.3367.4875,1,23.0,-0.49636434080890307,0.7819566431112663,0.14285714285714285
HQ686141.1.1218,1,14.0,0.4719540362612477,0.11546557196299015,0.14285714285714285
EU472152.1.1397,1,26.0,-0.4643903349094804,0.5695296592692376,0.14285714285714285
FJ557701.1.1386,1,27.0,0.46347723059733614,0.8148270190971415,0.14285714285714285
JQ191045.1.1353,1,28.0,-0.4569529522076445,0.6615755759090316,0.14285714285714285
DQ807131.1.1283,1,11.0,-0.44351576271039006,2.383840204115783,0.14285714285714285
EU463379.1.1288,1,30.0,-0.4329447209134278,0.2886298139422852,0.14285714285714285
DQ799182.1.1290,1,6.0,-0.42842504558990707,0.411270266064669,0.14285714285714285
GBHJ01003687.151.1360,1,16.0,-0.3885237072270412,0.386913441004402,0.14285714285714285
AY947496.1.1209,1,17.0,-0.3846957474310572,0.5548755836861781,0.14285714285714285
KY883186.1.1200,1,17.0,0.3795009346227443,0.11258723369914375,0.14285714285714285
JQ465246.1.1375,1,22.0,-0.3775819457598728,1.8084826453191472,0.14285714285714285
FJ364692.1.1331,1,12.0,-0.3644984839492625,0.46377162523336213,0.14285714285714285
FJ432294.1.1202,1,23.0,0.35967837004992365,0.7640053987622027,0.14285714285714285
DQ799352.1.1291,1,18.0,-0.35849742980877836,0.4052849029205191,0.14285714285714285
KC000059.1.1295,1,24.0,0.35081222338669144,0.42357631399332046,0.14285714285714285
HK694993.1.1204,1,14.0,0.34954071153930116,0.5502432559881352,0.14285714285714285
FJ032586.1.1226,1,25.0,-0.34800894035430563,0.686344350964486,0.14285714285714285
KY229868.1.1200,1,20.0,0.3344531592062038,0.08644110657972152,0.14285714285714285
FJ802340.1.1203,1,21.0,0.3343154414846685,0.21435816237409536,0.14285714285714285
LT576395.1.1472,1,28.0,-0.33048055333167703,0.2947177107590029,0.14285714285714285
KF101648.1.1374,1,29.0,-0.3244758544446582,0.48554502766248486,0.14285714285714285
FJ364950.1.1345,1,15.0,-0.3229871600232217,0.8326207575034581,0.14285714285714285
KH493948.1.1328,1,30.0,0.3150623666079397,0.22755287001216476,0.14285714285714285
EU768772.1.1356,1,23.0,-0.3054771398717864,0.4539796523074725,0.14285714285714285
JF220832.1.1358,1,20.0,0.30458547767313815,0.162921205783275,0.14285714285714285
FR681902.1.1718,1,8.0,-0.29856038176351124,0.16699139996942156,0.14285714285714285
JX095969.1.1221,1,24.0,-0.2875728456570198,0.42478335148614477,0.14285714285714285
KF089553.1.1340,1,10.0,0.28377232211044967,0.125052209743588,0.14285714285714285
JQ465376.1.1220,1,23.0,-0.2807506099789738,0.6210094625145515,0.14285714285714285
FJ371191.1.1358,1,11.0,-0.2741527501983957,0.22253372010085626,0.14285714285714285
JQ460078.1.1253,1,12.0,-0.26934340359135106,0.15064970031380653,0.14285714285714285
FJ369082.1.1342,1,28.0,-0.26510620405925045,0.3884236715743573,0.14285714285714285
JQ855614.1.1252,1,19.0,0.2628390330119982,0.30033007304031645,0.14285714285714285
