task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,attn,ASD,FJ558124.1.1310,Ctrl,-0.4470775716694976,-0.4470775716694976,-0.4470775716694976
lodo,attn,ASD,DQ366691.1.1269,Ctrl,-0.4053008338751246,-0.4053008338751246,-0.4053008338751246
lodo,attn,ASD,JQ460078.1.1253,Ctrl,-0.3104869453798397,-0.3104869453798397,-0.3104869453798397
lodo,attn,ASD,GFIM01005958.9.1236,Ctrl,-0.2577601455285011,-0.2577601455285011,-0.2577601455285011
lodo,attn,ASD,HQ809011.1.1451,Ctrl,-0.2535329854788167,-0.2535329854788167,-0.2535329854788167
lodo,attn,ASD,KX881777.1.1230,Ctrl,-0.2512550473140059,-0.2512550473140059,-0.2512550473140059
lodo,attn,ASD,KF100173.1.1349,Ctrl,-0.2509918649076335,-0.2509918649076335,-0.2509918649076335
lodo,attn,ASD,FMIW01000005.418310.419846,Ctrl,-0.2497060091380152,-0.2497060091380152,-0.2497060091380152
lodo,attn,ASD,FJ366838.1.1357,Ctrl,-0.2452471763595352,-0.2452471763595352,-0.2452471763595352
lodo,attn,ASD,JX048356.1.1310,Ctrl,-0.2297301389711785,-0.2297301389711785,-0.2297301389711785
lodo,attn,ASD,JF107789.1.1369,Ctrl,-0.2271767118181011,-0.2271767118181011,-0.2271767118181011
lodo,attn,ASD,HQ781017.1.1452,Ctrl,-0.2241875303644638,-0.2241875303644638,-0.2241875303644638
lodo,attn,ASD,DQ803256.1.1283,Ctrl,-0.2206235697108463,-0.2206235697108463,-0.2206235697108463
lodo,attn,ASD,KP944130.1.1431,Ctrl,-0.2179281152358345,-0.2179281152358345,-0.2179281152358345
lodo,attn,ASD,AJ006962.1.1476,Ctrl,-0.1841629145134826,-0.1841629145134826,-0.1841629145134826
lodo,attn,ASD,HQ759796.1.1448,Ctrl,-0.1599825061953082,-0.1599825061953082,-0.1599825061953082
lodo,attn,ASD,GQ897120.1.1473,Ctrl,-0.1536938052222681,-0.1536938052222681,-0.1536938052222681
lodo,attn,ASD,CALK01000057.3384.4901,Ctrl,-0.1534500646337357,-0.1534500646337357,-0.1534500646337357
lodo,attn,ASD,FJ371857.1.1374,Ctrl,-0.1523179405053608,-0.1523179405053608,-0.1523179405053608
lodo,attn,ASD,MH400162.1.1200,Ctrl,-0.1459094137826546,-0.1459094137826546,-0.1459094137826546
lodo,attn,ASD,AY653235.1.1324,Ctrl,-0.1437739332389893,-0.1437739332389893,-0.1437739332389893
lodo,attn,ASD,ABEZ02000015.506.1996,Ctrl,-0.1391365618783464,-0.1391365618783464,-0.1391365618783464
lodo,attn,ASD,HQ807603.1.1388,Ctrl,-0.1378195952499841,-0.1378195952499841,-0.1378195952499841
lodo,attn,ASD,FJ978501.1.1405,Ctrl,-0.1359194691720238,-0.1359194691720238,-0.1359194691720238
lodo,attn,ASD,KY476136.1.1200,Ctrl,-0.134976642158328,-0.134976642158328,-0.134976642158328
lodo,attn,ASD,DQ798619.1.1393,Ctrl,-0.1300350554796628,-0.1300350554796628,-0.1300350554796628
lodo,attn,ASD,DQ793489.1.1290,Ctrl,-0.1274181118941256,-0.1274181118941256,-0.1274181118941256
lodo,attn,ASD,CP001853.563211.564442,Ctrl,-0.1259996924502227,-0.1259996924502227,-0.1259996924502227
lodo,attn,ASD,GQ492440.1.1365,Ctrl,-0.1232635187909794,-0.1232635187909794,-0.1232635187909794
lodo,attn,ASD,GQ492485.1.1311,Ctrl,-0.1230240753551499,-0.1230240753551499,-0.1230240753551499
lodo,attn,ASD,HQ769477.1.1424,Ctrl,-0.1225911519673311,-0.1225911519673311,-0.1225911519673311
lodo,attn,ASD,JQ455437.1.1278,Ctrl,-0.119716496037364,-0.119716496037364,-0.119716496037364
lodo,attn,ASD,JQ456273.1.1334,Ctrl,-0.115655350660149,-0.115655350660149,-0.115655350660149
lodo,attn,ASD,KF085270.1.1286,Ctrl,-0.114105952774371,-0.114105952774371,-0.114105952774371
lodo,attn,ASD,HQ810984.1.1453,Ctrl,-0.1141042915413762,-0.1141042915413762,-0.1141042915413762
lodo,attn,ASD,EF614619.1.1270,Ctrl,-0.1139316480200862,-0.1139316480200862,-0.1139316480200862
lodo,attn,ASD,KP233317.1.1433,Ctrl,-0.1117072896901534,-0.1117072896901534,-0.1117072896901534
lodo,attn,ASD,HQ814909.1.1491,Ctrl,-0.1114462337674327,-0.1114462337674327,-0.1114462337674327
lodo,attn,ASD,KM276788.1.1200,Ctrl,-0.1095775222874911,-0.1095775222874911,-0.1095775222874911
lodo,attn,ASD,GQ898000.1.1493,Ctrl,-0.1071366716653907,-0.1071366716653907,-0.1071366716653907
lodo,attn,ASD,GQ492845.1.1361,Ctrl,-0.1058794433868468,-0.1058794433868468,-0.1058794433868468
lodo,attn,ASD,JF131672.1.1361,Ctrl,-0.1053112705109312,-0.1053112705109312,-0.1053112705109312
lodo,attn,ASD,DQ456225.1.1458,Ctrl,-0.1045019440233077,-0.1045019440233077,-0.1045019440233077
lodo,attn,ASD,KF842847.1.1408,Ctrl,-0.1028782372100146,-0.1028782372100146,-0.1028782372100146
lodo,attn,ASD,GQ897909.1.1487,Ctrl,-0.1026042623701263,-0.1026042623701263,-0.1026042623701263
lodo,attn,ASD,JQ083904.1.1489,Ctrl,-0.1014132596313966,-0.1014132596313966,-0.1014132596313966
lodo,attn,ASD,JF139928.1.1354,Ctrl,-0.099850217356065,-0.099850217356065,-0.099850217356065
lodo,attn,ASD,AB506360.1.1531,Ctrl,-0.0997554890771727,-0.0997554890771727,-0.0997554890771727
lodo,attn,ASD,KF842276.1.1402,ASD,0.1418192852241526,0.1418192852241526,0.1418192852241526
lodo,attn,ASD,GQ493692.1.1234,ASD,0.1422955705576676,0.1422955705576676,0.1422955705576676
lodo,attn,ASD,DQ804810.1.1224,ASD,0.1432224076391671,0.1432224076391671,0.1432224076391671
lodo,attn,ASD,DQ800682.1.1204,ASD,0.1437890346987052,0.1437890346987052,0.1437890346987052
lodo,attn,ASD,DQ809291.1.1378,ASD,0.1438414619637087,0.1438414619637087,0.1438414619637087
lodo,attn,ASD,GQ493144.1.1354,ASD,0.1452049333500831,0.1452049333500831,0.1452049333500831
lodo,attn,ASD,AY992139.1.1273,ASD,0.1453165505654315,0.1453165505654315,0.1453165505654315
lodo,attn,ASD,HQ795251.1.1444,ASD,0.1470362197134293,0.1470362197134293,0.1470362197134293
lodo,attn,ASD,EF404831.1.1491,ASD,0.1470963628294851,0.1470963628294851,0.1470963628294851
lodo,attn,ASD,FJ371162.1.1363,ASD,0.1480872261644639,0.1480872261644639,0.1480872261644639
lodo,attn,ASD,FMFF01000017.506.2051,ASD,0.1484658188006409,0.1484658188006409,0.1484658188006409
lodo,attn,ASD,GQ448867.1.1381,ASD,0.1547684945317858,0.1547684945317858,0.1547684945317858
lodo,attn,ASD,JQ467834.1.1286,ASD,0.1554945849016524,0.1554945849016524,0.1554945849016524
lodo,attn,ASD,FJ365468.1.1237,ASD,0.1563736219915198,0.1563736219915198,0.1563736219915198
lodo,attn,ASD,DQ799679.1.1289,ASD,0.1568294748437201,0.1568294748437201,0.1568294748437201
lodo,attn,ASD,HQ741563.1.1403,ASD,0.1574806069528355,0.1574806069528355,0.1574806069528355
lodo,attn,ASD,KF084610.1.1355,ASD,0.160050009931317,0.160050009931317,0.160050009931317
lodo,attn,ASD,HQ808998.1.1217,ASD,0.1613507762927008,0.1613507762927008,0.1613507762927008
lodo,attn,ASD,KY795327.1.1204,ASD,0.1634230000750371,0.1634230000750371,0.1634230000750371
lodo,attn,ASD,GEEG01002153.1.1395,ASD,0.1652888108682635,0.1652888108682635,0.1652888108682635
lodo,attn,ASD,DQ456128.1.1470,ASD,0.1654035042380068,0.1654035042380068,0.1654035042380068
lodo,attn,ASD,HM021452.1.1466,ASD,0.1655478817529373,0.1655478817529373,0.1655478817529373
lodo,attn,ASD,AB480534.1.1481,ASD,0.1680900279565031,0.1680900279565031,0.1680900279565031
lodo,attn,ASD,FJ558430.1.1233,ASD,0.1703142514745366,0.1703142514745366,0.1703142514745366
lodo,attn,ASD,DQ802678.1.1231,ASD,0.1707347757012479,0.1707347757012479,0.1707347757012479
