sample_file_name	sample_name	category
GCA_900120395.1_genomic.fna	GCA_900120395.1	geome
GCA_900155405.1_genomic.fna	GCA_900155405.1	geome
GCA_900155415.1_genomic.fna	GCA_900155415.1	geome
GCA_900169975.1_genomic.fna	GCA_900169975.1	geome
GCA_900170005.1_genomic.fna	GCA_900170005.1	geome
GCA_900199405.1_genomic.fna	GCA_900199405.1	geome
GCA_900343135.1_genomic.fna	GCA_900343135.1	geome
GCA_900474095.1_genomic.fna	GCA_900474095.1	geome
GCA_900604495.1_genomic.fna	GCA_900604495.1	geome
GCA_901456055.1_genomic.fna	GCA_901456055.1	geome
GCA_902362925.1_genomic.fna	GCA_902362925.1	geome
GCA_902363045.1_genomic.fna	GCA_902363045.1	geome
GCA_902363395.1_genomic.fna	GCA_902363395.1	geome
GCA_902363665.1_genomic.fna	GCA_902363665.1	geome
GCA_902363805.1_genomic.fna	GCA_902363805.1	geome
GCA_902364975.1_genomic.fna	GCA_902364975.1	geome
GCA_905221185.1_genomic.fna	GCA_905221185.1	geome
GCA_910574195.1_genomic.fna	GCA_910574195.1	geome
GCA_910574285.1_genomic.fna	GCA_910574285.1	geome
GCA_910574475.1_genomic.fna	GCA_910574475.1	geome
GCA_910575165.1_genomic.fna	GCA_910575165.1	geome
GCA_910575275.1_genomic.fna	GCA_910575275.1	geome
GCA_910575405.1_genomic.fna	GCA_910575405.1	geome
GCA_910575705.1_genomic.fna	GCA_910575705.1	geome
GCA_910576855.1_genomic.fna	GCA_910576855.1	geome
GCA_916988195.3_genomic.fna	GCA_916988195.3	geome
GCA_946892665.1_genomic.fna	GCA_946892665.1	geome
GCF_000007485.1_genomic.fna	GCF_000007485.1	geome
GCF_000008045.1_genomic.fna	GCF_000008045.1	geome
GCF_000008185.1_genomic.fna	GCF_000008185.1	geome
GCF_000010425.1_genomic.fna	GCF_000010425.1	geome
GCF_000010505.1_genomic.fna	GCF_000010505.1	geome
GCF_000011325.1_genomic.fna	GCF_000011325.1	geome
GCF_000012825.1_genomic.fna	GCF_000012825.1	geome
GCF_000013285.1_genomic.fna	GCF_000013285.1	geome
GCF_000013365.1_genomic.fna	GCF_000013365.1	geome
GCF_000013705.1_genomic.fna	GCF_000013705.1	geome
GCF_000013985.1_genomic.fna	GCF_000013985.1	geome
GCF_000016525.1_genomic.fna	GCF_000016525.1	geome
GCF_000016825.1_genomic.fna	GCF_000016825.1	geome
GCF_000017585.1_genomic.fna	GCF_000017585.1	geome
GCF_000018325.1_genomic.fna	GCF_000018325.1	geome
GCF_000023705.1_genomic.fna	GCF_000023705.1	geome
GCF_000023845.1_genomic.fna	GCF_000023845.1	geome
GCF_000024945.1_genomic.fna	GCF_000024945.1	geome
GCF_000025305.1_genomic.fna	GCF_000025305.1	geome
GCF_000025985.1_genomic.fna	GCF_000025985.1	geome
GCF_000069945.1_genomic.fna	GCF_000069945.1	geome
GCF_000091545.1_genomic.fna	GCF_000091545.1	geome
GCF_000143765.1_genomic.fna	GCF_000143765.1	geome
GCF_000143825.1_genomic.fna	GCF_000143825.1	geome
GCF_000143845.1_genomic.fna	GCF_000143845.1	geome
GCF_000146185.1_genomic.fna	GCF_000146185.1	geome
GCF_000146285.1_genomic.fna	GCF_000146285.1	geome
GCF_000146675.1_genomic.fna	GCF_000146675.1	geome
GCF_000154285.1_genomic.fna	GCF_000154285.1	geome
GCF_000154445.1_genomic.fna	GCF_000154445.1	geome
GCF_000154825.1_genomic.fna	GCF_000154825.1	geome
GCF_000155475.1_genomic.fna	GCF_000155475.1	geome
GCF_000155955.1_genomic.fna	GCF_000155955.1	geome
GCF_000155975.1_genomic.fna	GCF_000155975.1	geome
GCF_000157975.1_genomic.fna	GCF_000157975.1	geome
GCF_000157995.1_genomic.fna	GCF_000157995.1	geome
GCF_000158475.2_genomic.fna	GCF_000158475.2	geome
GCF_000159035.1_genomic.fna	GCF_000159035.1	geome
GCF_000159135.1_genomic.fna	GCF_000159135.1	geome
GCF_000159695.1_genomic.fna	GCF_000159695.1	geome
GCF_000160075.2_genomic.fna	GCF_000160075.2	geome
GCF_000160115.1_genomic.fna	GCF_000160115.1	geome
GCF_000160535.1_genomic.fna	GCF_000160535.1	geome
GCF_000160555.1_genomic.fna	GCF_000160555.1	geome
GCF_000160695.1_genomic.fna	GCF_000160695.1	geome
GCF_000160755.1_genomic.fna	GCF_000160755.1	geome
GCF_000161935.1_genomic.fna	GCF_000161935.1	geome
GCF_000162475.2_genomic.fna	GCF_000162475.2	geome
GCF_000162875.1_genomic.fna	GCF_000162875.1	geome
GCF_000163055.2_genomic.fna	GCF_000163055.2	geome
GCF_000163895.2_genomic.fna	GCF_000163895.2	geome
GCF_000164675.2_genomic.fna	GCF_000164675.2	geome
GCF_000165735.1_genomic.fna	GCF_000165735.1	geome
GCF_000166715.1_genomic.fna	GCF_000166715.1	geome
GCF_000169535.1_genomic.fna	GCF_000169535.1	geome
GCF_000172175.1_genomic.fna	GCF_000172175.1	geome
GCF_000174015.1_genomic.fna	GCF_000174015.1	geome
GCF_000175215.2_genomic.fna	GCF_000175215.2	geome
GCF_000176855.2_genomic.fna	GCF_000176855.2	geome
GCF_000177375.1_genomic.fna	GCF_000177375.1	geome
GCF_000185985.2_genomic.fna	GCF_000185985.2	geome
GCF_000187505.1_genomic.fna	GCF_000187505.1	geome
GCF_000187585.1_genomic.fna	GCF_000187585.1	geome
GCF_000187895.1_genomic.fna	GCF_000187895.1	geome
GCF_000188175.1_genomic.fna	GCF_000188175.1	geome
GCF_000188195.1_genomic.fna	GCF_000188195.1	geome
GCF_000190535.1_genomic.fna	GCF_000190535.1	geome
GCF_000191065.1_genomic.fna	GCF_000191065.1	geome
GCF_000194175.1_genomic.fna	GCF_000194175.1	geome
GCF_000194985.1_genomic.fna	GCF_000194985.1	geome
GCF_000195275.1_genomic.fna	GCF_000195275.1	geome
GCF_000196115.1_genomic.fna	GCF_000196115.1	geome
GCF_000196275.1_genomic.fna	GCF_000196275.1	geome
GCF_000196855.1_genomic.fna	GCF_000196855.1	geome
GCF_000205165.1_genomic.fna	GCF_000205165.1	geome
GCF_000210095.1_genomic.fna	GCF_000210095.1	geome
GCF_000212375.1_genomic.fna	GCF_000212375.1	geome
GCF_000218235.1_genomic.fna	GCF_000218235.1	geome
GCF_000219605.1_genomic.fna	GCF_000219605.1	geome
GCF_000220085.1_genomic.fna	GCF_000220085.1	geome
GCF_000220255.1_genomic.fna	GCF_000220255.1	geome
GCF_000222765.1_genomic.fna	GCF_000222765.1	geome
GCF_000225345.1_genomic.fna	GCF_000225345.1	geome
GCF_000230555.1_genomic.fna	GCF_000230555.1	geome
GCF_000235445.1_genomic.fna	GCF_000235445.1	geome
GCF_000235505.1_genomic.fna	GCF_000235505.1	geome
GCF_000236865.1_genomic.fna	GCF_000236865.1	geome
GCF_000237805.1_genomic.fna	GCF_000237805.1	geome
GCF_000237995.1_genomic.fna	GCF_000237995.1	geome
GCF_000238055.2_genomic.fna	GCF_000238055.2	geome
GCF_000238075.1_genomic.fna	GCF_000238075.1	geome
GCF_000238115.1_genomic.fna	GCF_000238115.1	geome
GCF_000238795.1_genomic.fna	GCF_000238795.1	geome
GCF_000239695.1_genomic.fna	GCF_000239695.1	geome
GCF_000242235.1_genomic.fna	GCF_000242235.1	geome
GCF_000242435.1_genomic.fna	GCF_000242435.1	geome
GCF_000243215.1_genomic.fna	GCF_000243215.1	geome
GCF_000254135.1_genomic.fna	GCF_000254135.1	geome
GCF_000262545.1_genomic.fna	GCF_000262545.1	geome
GCF_000265365.1_genomic.fna	GCF_000265365.1	geome
GCF_000269605.1_genomic.fna	GCF_000269605.1	geome
GCF_000269965.1_genomic.fna	GCF_000269965.1	geome
GCF_000270285.1_genomic.fna	GCF_000270285.1	geome
GCF_000295095.1_genomic.fna	GCF_000295095.1	geome
GCF_000296385.1_genomic.fna	GCF_000296385.1	geome
GCF_000296445.1_genomic.fna	GCF_000296445.1	geome
GCF_000296465.1_genomic.fna	GCF_000296465.1	geome
GCF_000296505.1_genomic.fna	GCF_000296505.1	geome
GCF_000297775.1_genomic.fna	GCF_000297775.1	geome
GCF_000298215.1_genomic.fna	GCF_000298215.1	geome
GCF_000299895.1_genomic.fna	GCF_000299895.1	geome
GCF_000300875.1_genomic.fna	GCF_000300875.1	geome
GCF_000301055.1_genomic.fna	GCF_000301055.1	geome
GCF_000307265.1_genomic.fna	GCF_000307265.1	geome
GCF_000308055.1_genomic.fna	GCF_000308055.1	geome
GCF_000308275.2_genomic.fna	GCF_000308275.2	geome
GCF_000311845.1_genomic.fna	GCF_000311845.1	geome
GCF_000311865.1_genomic.fna	GCF_000311865.1	geome
GCF_000313565.1_genomic.fna	GCF_000313565.1	geome
GCF_000314795.2_genomic.fna	GCF_000314795.2	geome
GCF_000317125.1_genomic.fna	GCF_000317125.1	geome
GCF_000321005.1_genomic.fna	GCF_000321005.1	geome
GCF_000321025.1_genomic.fna	GCF_000321025.1	geome
GCF_000327285.1_genomic.fna	GCF_000327285.1	geome
GCF_000340375.1_genomic.fna	GCF_000340375.1	geome
GCF_000344785.1_genomic.fna	GCF_000344785.1	geome
GCF_000368025.1_genomic.fna	GCF_000368025.1	geome
GCF_000368045.1_genomic.fna	GCF_000368045.1	geome
GCF_000368625.1_genomic.fna	GCF_000368625.1	geome
GCF_000368925.1_genomic.fna	GCF_000368925.1	geome
GCF_000372425.1_genomic.fna	GCF_000372425.1	geome
GCF_000372645.1_genomic.fna	GCF_000372645.1	geome
GCF_000379625.1_genomic.fna	GCF_000379625.1	geome
GCF_000381365.1_genomic.fna	GCF_000381365.1	geome
GCF_000403355.2_genomic.fna	GCF_000403355.2	geome
GCF_000406925.1_genomic.fna	GCF_000406925.1	geome
GCF_000406965.1_genomic.fna	GCF_000406965.1	geome
GCF_000407145.1_genomic.fna	GCF_000407145.1	geome
GCF_000407485.1_genomic.fna	GCF_000407485.1	geome
GCF_000407545.1_genomic.fna	GCF_000407545.1	geome
GCF_000407565.1_genomic.fna	GCF_000407565.1	geome
GCF_000411375.1_genomic.fna	GCF_000411375.1	geome
GCF_000413475.1_genomic.fna	GCF_000413475.1	geome
GCF_000420345.1_genomic.fna	GCF_000420345.1	geome
GCF_000420505.1_genomic.fna	GCF_000420505.1	geome
GCF_000422085.1_genomic.fna	GCF_000422085.1	geome
GCF_000427365.1_genomic.fna	GCF_000427365.1	geome
GCF_000468055.1_genomic.fna	GCF_000468055.1	geome
GCF_000473995.1_genomic.fna	GCF_000473995.1	geome
GCF_000478885.1_genomic.fna	GCF_000478885.1	geome
GCF_000482365.1_genomic.fna	GCF_000482365.1	geome
GCF_000496075.1_genomic.fna	GCF_000496075.1	geome
GCF_000507765.1_genomic.fna	GCF_000507765.1	geome
GCF_000512915.1_genomic.fna	GCF_000512915.1	geome
GCF_000518545.1_genomic.fna	GCF_000518545.1	geome
GCF_000525775.1_genomic.fna	GCF_000525775.1	geome
GCF_000550785.1_genomic.fna	GCF_000550785.1	geome
GCF_000564995.1_genomic.fna	GCF_000564995.1	geome
GCF_000565075.1_genomic.fna	GCF_000565075.1	geome
GCF_000577815.1_genomic.fna	GCF_000577815.1	geome
GCF_000577895.1_genomic.fna	GCF_000577895.1	geome
GCF_000585335.1_genomic.fna	GCF_000585335.1	geome
GCF_000590555.1_genomic.fna	GCF_000590555.1	geome
GCF_000599605.1_genomic.fna	GCF_000599605.1	geome
GCF_000613345.1_genomic.fna	GCF_000613345.1	geome
GCF_000613405.1_genomic.fna	GCF_000613405.1	geome
GCF_000613445.1_genomic.fna	GCF_000613445.1	geome
GCF_000613785.1_genomic.fna	GCF_000613785.1	geome
GCF_000614025.1_genomic.fna	GCF_000614025.1	geome
GCF_000614145.1_genomic.fna	GCF_000614145.1	geome
GCF_000686605.1_genomic.fna	GCF_000686605.1	geome
GCF_000686665.1_genomic.fna	GCF_000686665.1	geome
GCF_000688395.1_genomic.fna	GCF_000688395.1	geome
GCF_000706765.1_genomic.fna	GCF_000706765.1	geome
GCF_000730605.1_genomic.fna	GCF_000730605.1	geome
GCF_000732945.1_genomic.fna	GCF_000732945.1	geome
GCF_000733755.1_genomic.fna	GCF_000733755.1	geome
GCF_000735435.1_genomic.fna	GCF_000735435.1	geome
GCF_000735525.1_genomic.fna	GCF_000735525.1	geome
GCF_000735605.1_genomic.fna	GCF_000735605.1	geome
GCF_000735695.2_genomic.fna	GCF_000735695.2	geome
GCF_000739895.2_genomic.fna	GCF_000739895.2	geome
GCF_000741205.1_genomic.fna	GCF_000741205.1	geome
GCF_000742135.1_genomic.fna	GCF_000742135.1	geome
GCF_000759775.1_genomic.fna	GCF_000759775.1	geome
GCF_000762405.1_genomic.fna	GCF_000762405.1	geome
GCF_000770925.1_genomic.fna	GCF_000770925.1	geome
GCF_000771225.1_genomic.fna	GCF_000771225.1	geome
GCF_000797515.1_genomic.fna	GCF_000797515.1	geome
GCF_000807675.2_genomic.fna	GCF_000807675.2	geome
GCF_000808015.1_genomic.fna	GCF_000808015.1	geome
GCF_000812965.1_genomic.fna	GCF_000812965.1	geome
GCF_000820765.1_genomic.fna	GCF_000820765.1	geome
GCF_000821305.1_genomic.fna	GCF_000821305.1	geome
GCF_000828055.2_genomic.fna	GCF_000828055.2	geome
GCF_000829035.1_genomic.fna	GCF_000829035.1	geome
GCF_000831645.3_genomic.fna	GCF_000831645.3	geome
GCF_000834015.1_genomic.fna	GCF_000834015.1	geome
GCF_000959525.1_genomic.fna	GCF_000959525.1	geome
GCF_000963275.1_genomic.fna	GCF_000963275.1	geome
GCF_000969825.1_genomic.fna	GCF_000969825.1	geome
GCF_000973085.1_genomic.fna	GCF_000973085.1	geome
GCF_000981035.1_genomic.fna	GCF_000981035.1	geome
GCF_001020205.1_genomic.fna	GCF_001020205.1	geome
GCF_001025175.1_genomic.fna	GCF_001025175.1	geome
GCF_001025195.1_genomic.fna	GCF_001025195.1	geome
GCF_001042595.1_genomic.fna	GCF_001042595.1	geome
