"KO","r2","F","p_value","description"
"K00364",0.0157007968804166,17.7058809780882,0.001,"guaC, GMPR; GMP reductase [EC:1.7.1.7]"
"K00368",0.011750656887033,13.1983180515159,0.001,"nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]"
"K00370",0.0106108839760649,11.9043973929738,0.001,"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
"K00371",0.0106283868522561,11.9242448936551,0.001,"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
"K00372",0.0170836071411154,19.292387495424,0.001,"nasC, nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"
"K00373",0.00890798549523569,9.97673652395681,0.001,"narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"
"K00374",0.0106060245518444,11.8988871417119,0.001,"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
"K00375",0.00576683619991558,6.43831690087679,0.001,"K00375; GntR family transcriptional regulator / MocR family aminotransferase"
"K00380",0.0118540108763639,13.3157976833295,0.001,"cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]"
"K00381",0.0202867196169221,22.9845396869364,0.001,"cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]"
"K00382",0.0116054312465043,13.0332855833737,0.001,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
"K00383",0.0188691052362868,21.3475153254882,0.001,"GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]"
"K00385",0.00507512028756138,5.6621194565175,0.001,"asrC; anaerobic sulfite reductase subunit C"
"K00389",0.00875573427218914,9.80471249938981,0.001,"yidH; inner membrane protein YidH"
"K00390",0.028050698156814,32.0348755794334,0.001,"cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"K00394",0.00504441613953446,5.62769032679605,0.001,"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
"K00395",0.0049986023535085,5.57632243082106,0.001,"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
"K00404",0.0184095524227014,20.8178504992932,0.001,"ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]"
"K00405",0.0178753988776268,20.2028263333295,0.001,"ccoO; cytochrome c oxidase cbb3-type subunit II"
"K00406",0.0244422253872834,27.8106237128346,0.001,"ccoP; cytochrome c oxidase cbb3-type subunit III"
"K00407",0.0196139910880776,22.2070999686431,0.001,"ccoQ; cytochrome c oxidase cbb3-type subunit IV"
"K00411",0.02155637495819,24.4547315667456,0.001,"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"K00412",0.02155637495819,24.4547315667456,0.001,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
"K00413",0.02155637495819,24.4547315667456,0.001,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
"K00424",0.0122322177568066,13.7459046084906,0.001,"cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]"
"K00425",0.0169064653784192,19.0889024382292,0.001,"cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"
"K00426",0.0173502835433875,19.5988605203148,0.001,"cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"
"K00427",0.00951782313745583,10.6663036744801,0.001,"lldP, lctP; L-lactate permease"
"K00428",0.00871998483051907,9.764327953511,0.001,"E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]"
"K00432",0.0194949351411673,22.0696238930812,0.001,"gpx, btuE, bsaA; glutathione peroxidase [EC:1.11.1.9]"
"K00433",0.0155449154395112,17.5273167953223,0.001,"cpo; non-heme chloroperoxidase [EC:1.11.1.10]"
"K00435",0.00975371138219888,10.9332594917904,0.001,"hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]"
"K00448",0.0117056966833408,13.147220696207,0.001,"pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"
"K00449",0.0121896984378958,13.697534075791,0.001,"pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
"K00451",0.0214518153588852,24.3335130779436,0.001,"HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
"K00453",0.0177216296420613,20.0259004945003,0.001,"TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]"
"K00457",0.0274513722160132,31.3311049846472,0.001,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
"K00459",0.00784941197052354,8.78177908918628,0.001,"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"
"K00481",0.0128290292299441,14.4252848461798,0.001,"pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]"
"K00500",0.0190083954138194,21.5081544130441,0.001,"phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]"
"K00507",0.0183718122553788,20.7743745117227,0.001,"SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]"
"K00520",0.00830482330016969,9.29555177818375,0.001,"merA; mercuric reductase [EC:1.16.1.1]"
"K00525",0.0150809479879099,16.9961706318729,0.001,"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"K00526",0.0320834206353445,36.7930435994894,0.001,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"K00528",0.00875958390525867,9.80906143147799,0.001,"fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]"
"K00529",0.0141191520041844,15.8967067435224,0.001,"hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]"
"K00537",0.0309202788046868,35.4166006392833,0.001,"arsC; arsenate reductase (glutaredoxin) [EC:1.20.4.1]"
"K00547",0.00665102730450974,7.43207121659645,0.001,"mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]"
