attention_weight,group1,group2
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013961288895384903,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0004198903984883235,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0006931038281204619,Non-biomarker,Model_1
0.00037873634958968333,Non-biomarker,Model_1
0.002010312926608553,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00010836334424275883,Non-biomarker,Model_1
0.003912795800715679,Non-biomarker,Model_1
0.00311747895937193,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013361178776797108,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0007139766296627442,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0015311351082488585,Non-biomarker,Model_1
0.0033572922899004188,Non-biomarker,Model_1
0.000776243478278901,Non-biomarker,Model_1
0.001995883836392672,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
8.158393971183627e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.959034037356275e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0003632597543080049,Non-biomarker,Model_1
0.0002305149557251549,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00012015679157247646,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00047354123500340005,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0030611533461613314,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
9.145818687244901e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
8.883131850583823e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.000492561215936552,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0005930848967503088,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00506222837915022,Non-biomarker,Model_1
0.0007641716294136648,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00011830981455597156,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0031709537257020286,Non-biomarker,Model_1
0.00012920775870774217,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00024920340408296965,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0011119584954690667,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0034837001459855554,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00013813373687512648,Non-biomarker,Model_1
0.0011525457706667588,Non-biomarker,Model_1
0.0007653404985937971,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0008567543563378177,Non-biomarker,Model_1
0.0006239505201651158,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0003079429780151324,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.001097983552836901,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0004118463006235785,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0001870573900055647,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0006090543762433745,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013475621429582382,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.017569525048647994,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00040789720072757844,Non-biomarker,Model_1
0.00024845086805084116,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0012080027110071118,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0008069668056479824,Non-biomarker,Model_1
0.0001747970304944931,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.001915877534295699,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00010107742512927255,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0022112264882261793,Non-biomarker,Model_1
0.0015384412562364981,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0022387885415524767,Non-biomarker,Model_1
0.00034589458293482256,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0027182956920096583,Non-biomarker,Model_1
0.0003641432826863764,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.000330968440382503,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0011598158755577027,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0013156277675400697,Non-biomarker,Model_1
8.999240383797942e-05,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0002407263325271647,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00018522959640797352,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0007961907460555127,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00013087080864637452,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.016223188416630584,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0018571655941652277,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.005100252732232785,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.007446726665412076,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0010535656474530658,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00012161906845137158,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00027542497378353923,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.00956568984753066,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0004515633187895882,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
0.0,Non-biomarker,Model_1
